make,model,variant,year,odometer_km,segment,service_history,panel_paint_condition,mechanical_faults,tyre_condition,keys_count,rego_status,guide_trade_low,guide_trade_high,comps_json,purchase_price_aud,actual_recon_aud,resale_price_aud,purchased_at
BMW,3 Series,320i,2019,105915,prestige,none,good,none,good,2,current,24380.0,27500.0,"[{""sold_at"": ""2026-01-07"", ""price_aud"": 27090.0, ""odometer_km"": 81931, ""match_quality"": 0.8}, {""sold_at"": ""2026-01-25"", ""price_aud"": 27610.0, ""odometer_km"": 83414, ""match_quality"": 0.73}, {""sold_at"": ""2026-01-02"", ""price_aud"": 27800.0, ""odometer_km"": 86493, ""match_quality"": 0.78}]",20290.0,619.0,28630.0,2026-03-23
Holden,Commodore,SS,2017,94277,large,none,good,none,worn,2,unregistered,10730.0,12110.0,"[{""sold_at"": ""2025-03-06"", ""price_aud"": 11320.0, ""odometer_km"": 107542, ""match_quality"": 0.74}, {""sold_at"": ""2025-01-17"", ""price_aud"": 11040.0, ""odometer_km"": 116150, ""match_quality"": 0.89}, {""sold_at"": ""2025-03-18"", ""price_aud"": 12390.0, ""odometer_km"": 100659, ""match_quality"": 0.61}]",7220.0,3278.0,,2025-05-18
Toyota,Camry,Ascent,2015,177907,medium,full,fair,none,new,1,current,8410.0,9490.0,"[{""sold_at"": ""2025-07-17"", ""price_aud"": 8710.0, ""odometer_km"": 176780, ""match_quality"": 0.97}, {""sold_at"": ""2025-07-28"", ""price_aud"": 9540.0, ""odometer_km"": 185218, ""match_quality"": 0.74}, {""sold_at"": ""2025-07-31"", ""price_aud"": 8400.0, ""odometer_km"": 179172, ""match_quality"": 0.8}, {""sold_at"": ""2025-06-24"", ""price_aud"": 9240.0, ""odometer_km"": 217032, ""match_quality"": 0.94}, {""sold_at"": ""2025-07-23"", ""price_aud"": 9140.0, ""odometer_km"": 148141, ""match_quality"": 0.71}, {""sold_at"": ""2025-07-04"", ""price_aud"": 8590.0, ""odometer_km"": 201474, ""match_quality"": 0.76}]",6900.0,811.0,10550.0,2025-11-20
Honda,CR-V,VTi-L,2022,97322,suv,full,fair,none,good,2,unregistered,18310.0,20650.0,"[{""sold_at"": ""2025-09-24"", ""price_aud"": 18740.0, ""odometer_km"": 115713, ""match_quality"": 0.93}, {""sold_at"": ""2025-12-07"", ""price_aud"": 18340.0, ""odometer_km"": 76968, ""match_quality"": 0.65}, {""sold_at"": ""2025-12-03"", ""price_aud"": 18030.0, ""odometer_km"": 106604, ""match_quality"": 0.98}, {""sold_at"": ""2025-09-23"", ""price_aud"": 18440.0, ""odometer_km"": 119822, ""match_quality"": 0.88}, {""sold_at"": ""2025-11-03"", ""price_aud"": 20480.0, ""odometer_km"": 109816, ""match_quality"": 0.9}]",14800.0,2480.0,23520.0,2025-12-24
Ford,Focus,Trend,2016,192851,small,partial,good,none,good,2,current,6230.0,7030.0,"[{""sold_at"": ""2025-12-22"", ""price_aud"": 6630.0, ""odometer_km"": 209749, ""match_quality"": 0.61}, {""sold_at"": ""2026-01-10"", ""price_aud"": 6550.0, ""odometer_km"": 177605, ""match_quality"": 0.92}, {""sold_at"": ""2025-12-10"", ""price_aud"": 6390.0, ""odometer_km"": 202856, ""match_quality"": 0.83}, {""sold_at"": ""2026-01-30"", ""price_aud"": 7040.0, ""odometer_km"": 208536, ""match_quality"": 0.77}, {""sold_at"": ""2026-01-25"", ""price_aud"": 6960.0, ""odometer_km"": 206225, ""match_quality"": 0.65}]",4060.0,1231.0,8060.0,2026-04-19
Tesla,Model 3,Performance,2019,93184,prestige,partial,good,none,good,1,current,21410.0,24150.0,"[{""sold_at"": ""2025-12-14"", ""price_aud"": 20750.0, ""odometer_km"": 71512, ""match_quality"": 0.74}, {""sold_at"": ""2025-12-26"", ""price_aud"": 23290.0, ""odometer_km"": 95934, ""match_quality"": 0.79}, {""sold_at"": ""2025-10-23"", ""price_aud"": 21850.0, ""odometer_km"": 95544, ""match_quality"": 0.7}]",17050.0,1079.0,,2026-01-04
Mazda,CX-5,Maxx,2023,43892,suv,partial,good,none,new,1,current,21820.0,24600.0,"[{""sold_at"": ""2026-01-08"", ""price_aud"": 21440.0, ""odometer_km"": 37360, ""match_quality"": 0.9}, {""sold_at"": ""2026-01-26"", ""price_aud"": 21290.0, ""odometer_km"": 50174, ""match_quality"": 0.9}, {""sold_at"": ""2025-12-13"", ""price_aud"": 24200.0, ""odometer_km"": 44489, ""match_quality"": 0.95}, {""sold_at"": ""2026-02-16"", ""price_aud"": 24250.0, ""odometer_km"": 49706, ""match_quality"": 0.73}]",17460.0,1227.0,,2026-03-01
Mercedes-Benz,C-Class,C200,2024,27701,prestige,partial,fair,none,good,2,current,46760.0,52720.0,"[{""sold_at"": ""2025-11-18"", ""price_aud"": 50060.0, ""odometer_km"": 33528, ""match_quality"": 0.97}, {""sold_at"": ""2025-10-25"", ""price_aud"": 48840.0, ""odometer_km"": 25822, ""match_quality"": 0.73}, {""sold_at"": ""2025-09-29"", ""price_aud"": 49850.0, ""odometer_km"": 25904, ""match_quality"": 0.72}, {""sold_at"": ""2025-11-11"", ""price_aud"": 50400.0, ""odometer_km"": 32847, ""match_quality"": 0.88}, {""sold_at"": ""2025-12-20"", ""price_aud"": 46430.0, ""odometer_km"": 29707, ""match_quality"": 0.66}, {""sold_at"": ""2025-12-17"", ""price_aud"": 45560.0, ""odometer_km"": 29252, ""match_quality"": 0.69}]",41970.0,892.0,,2026-02-01
Hyundai,i30,Elite,2016,98799,small,full,good,none,good,1,current,7240.0,8160.0,"[{""sold_at"": ""2025-01-06"", ""price_aud"": 7900.0, ""odometer_km"": 106991, ""match_quality"": 0.74}, {""sold_at"": ""2025-04-14"", ""price_aud"": 7210.0, ""odometer_km"": 92646, ""match_quality"": 0.99}, {""sold_at"": ""2025-03-22"", ""price_aud"": 7030.0, ""odometer_km"": 115483, ""match_quality"": 0.72}, {""sold_at"": ""2024-12-21"", ""price_aud"": 7550.0, ""odometer_km"": 91870, ""match_quality"": 0.62}, {""sold_at"": ""2025-03-01"", ""price_aud"": 8000.0, ""odometer_km"": 74436, ""match_quality"": 0.64}]",5330.0,710.0,,2025-05-19
Toyota,Hilux,Rogue,2017,157267,ute,none,excellent,none,good,2,current,13710.0,15470.0,"[{""sold_at"": ""2026-03-06"", ""price_aud"": 14550.0, ""odometer_km"": 132414, ""match_quality"": 0.91}, {""sold_at"": ""2026-03-26"", ""price_aud"": 14910.0, ""odometer_km"": 171261, ""match_quality"": 0.95}, {""sold_at"": ""2026-03-25"", ""price_aud"": 14420.0, ""odometer_km"": 169532, ""match_quality"": 0.84}]",9170.0,2183.0,,2026-04-21
Nissan,Navara,ST-X,2015,186029,ute,full,excellent,none,new,2,current,9890.0,11150.0,"[{""sold_at"": ""2025-07-01"", ""price_aud"": 10180.0, ""odometer_km"": 218683, ""match_quality"": 0.7}, {""sold_at"": ""2025-08-11"", ""price_aud"": 9510.0, ""odometer_km"": 156285, ""match_quality"": 0.73}, {""sold_at"": ""2025-08-13"", ""price_aud"": 10020.0, ""odometer_km"": 215557, ""match_quality"": 0.95}]",9190.0,488.0,11340.0,2025-11-06
Hyundai,i30,Elite,2015,266779,small,partial,good,none,replace,2,current,5190.0,5850.0,"[{""sold_at"": ""2026-03-03"", ""price_aud"": 5360.0, ""odometer_km"": 299387, ""match_quality"": 0.88}, {""sold_at"": ""2026-04-24"", ""price_aud"": 5410.0, ""odometer_km"": 260009, ""match_quality"": 0.93}, {""sold_at"": ""2026-04-11"", ""price_aud"": 5010.0, ""odometer_km"": 285415, ""match_quality"": 0.63}]",2940.0,1419.0,6250.0,2026-06-17
Hyundai,Tucson,Highlander,2023,49856,suv,full,good,WL:check engine light,good,2,current,20600.0,23240.0,"[{""sold_at"": ""2025-11-07"", ""price_aud"": 21670.0, ""odometer_km"": 59120, ""match_quality"": 0.68}, {""sold_at"": ""2025-10-26"", ""price_aud"": 21670.0, ""odometer_km"": 58155, ""match_quality"": 0.98}, {""sold_at"": ""2025-07-07"", ""price_aud"": 21210.0, ""odometer_km"": 57538, ""match_quality"": 0.83}, {""sold_at"": ""2025-07-30"", ""price_aud"": 19760.0, ""odometer_km"": 43224, ""match_quality"": 0.95}, {""sold_at"": ""2025-11-14"", ""price_aud"": 21670.0, ""odometer_km"": 41468, ""match_quality"": 0.68}]",16040.0,2107.0,23530.0,2025-12-04
Toyota,Landcruiser Prado,VX,2020,56640,suv,full,good,none,replace,2,current,27220.0,30700.0,"[{""sold_at"": ""2026-04-13"", ""price_aud"": 27700.0, ""odometer_km"": 46858, ""match_quality"": 0.6}, {""sold_at"": ""2026-03-09"", ""price_aud"": 26750.0, ""odometer_km"": 53242, ""match_quality"": 0.86}, {""sold_at"": ""2026-04-20"", ""price_aud"": 29640.0, ""odometer_km"": 54928, ""match_quality"": 0.93}, {""sold_at"": ""2026-02-11"", ""price_aud"": 28170.0, ""odometer_km"": 48325, ""match_quality"": 0.63}, {""sold_at"": ""2026-05-08"", ""price_aud"": 26630.0, ""odometer_km"": 53455, ""match_quality"": 0.78}]",21090.0,1560.0,,2026-06-09
Toyota,Camry,Ascent,2024,38465,medium,partial,good,none,good,1,expired,24180.0,27260.0,"[{""sold_at"": ""2025-09-15"", ""price_aud"": 23420.0, ""odometer_km"": 37855, ""match_quality"": 0.97}, {""sold_at"": ""2025-08-26"", ""price_aud"": 24850.0, ""odometer_km"": 30695, ""match_quality"": 0.76}, {""sold_at"": ""2025-09-05"", ""price_aud"": 27690.0, ""odometer_km"": 40649, ""match_quality"": 0.94}]",20080.0,1698.0,27610.0,2025-12-28
Mazda,3,G20 Pure,2018,212084,small,full,fair,none,good,1,current,8240.0,9300.0,"[{""sold_at"": ""2025-03-27"", ""price_aud"": 8750.0, ""odometer_km"": 206290, ""match_quality"": 0.9}, {""sold_at"": ""2025-04-18"", ""price_aud"": 9020.0, ""odometer_km"": 200097, ""match_quality"": 0.94}, {""sold_at"": ""2025-04-21"", ""price_aud"": 8200.0, ""odometer_km"": 210954, ""match_quality"": 0.78}]",6300.0,1053.0,9680.0,2025-07-09
BMW,3 Series,330i,2022,81971,prestige,full,good,none,good,2,current,33500.0,37780.0,"[{""sold_at"": ""2025-09-06"", ""price_aud"": 37640.0, ""odometer_km"": 98582, ""match_quality"": 0.9}, {""sold_at"": ""2025-06-27"", ""price_aud"": 35070.0, ""odometer_km"": 62696, ""match_quality"": 0.74}, {""sold_at"": ""2025-06-07"", ""price_aud"": 33570.0, ""odometer_km"": 98459, ""match_quality"": 1.0}, {""sold_at"": ""2025-07-24"", ""price_aud"": 34310.0, ""odometer_km"": 102277, ""match_quality"": 0.75}]",30870.0,775.0,43290.0,2025-09-24
Kia,Cerato,S,2024,26543,small,partial,fair,none,worn,2,current,16970.0,19130.0,"[{""sold_at"": ""2025-02-19"", ""price_aud"": 19100.0, ""odometer_km"": 30762, ""match_quality"": 0.67}, {""sold_at"": ""2025-04-09"", ""price_aud"": 16770.0, ""odometer_km"": 25706, ""match_quality"": 0.82}, {""sold_at"": ""2025-02-22"", ""price_aud"": 19760.0, ""odometer_km"": 32411, ""match_quality"": 0.68}]",12580.0,1189.0,21920.0,2025-07-10
Toyota,Kluger,Grande,2022,51825,suv,full,fair,WL:check engine light,good,1,current,27010.0,30450.0,"[{""sold_at"": ""2026-04-30"", ""price_aud"": 28920.0, ""odometer_km"": 53504, ""match_quality"": 0.66}, {""sold_at"": ""2026-03-03"", ""price_aud"": 29930.0, ""odometer_km"": 46125, ""match_quality"": 0.9}, {""sold_at"": ""2026-05-18"", ""price_aud"": 28060.0, ""odometer_km"": 39641, ""match_quality"": 0.78}]",20870.0,1954.0,34060.0,2026-06-08
Holden,Commodore,Evoke,2019,96546,large,partial,good,none,good,2,current,13130.0,14810.0,"[{""sold_at"": ""2026-05-10"", ""price_aud"": 12970.0, ""odometer_km"": 90341, ""match_quality"": 0.74}, {""sold_at"": ""2026-04-13"", ""price_aud"": 13720.0, ""odometer_km"": 90176, ""match_quality"": 0.82}, {""sold_at"": ""2026-05-29"", ""price_aud"": 13120.0, ""odometer_km"": 79400, ""match_quality"": 0.7}, {""sold_at"": ""2026-05-20"", ""price_aud"": 14440.0, ""odometer_km"": 94458, ""match_quality"": 0.85}, {""sold_at"": ""2026-02-25"", ""price_aud"": 12840.0, ""odometer_km"": 80727, ""match_quality"": 0.93}, {""sold_at"": ""2026-03-08"", ""price_aud"": 12590.0, ""odometer_km"": 93175, ""match_quality"": 0.91}]",10400.0,954.0,16240.0,2026-07-25
Audi,A4,40 TFSI,2021,80399,prestige,partial,good,aircon weak,good,2,current,28540.0,32180.0,"[{""sold_at"": ""2026-04-15"", ""price_aud"": 28110.0, ""odometer_km"": 71885, ""match_quality"": 0.79}, {""sold_at"": ""2026-07-11"", ""price_aud"": 30260.0, ""odometer_km"": 90457, ""match_quality"": 0.99}, {""sold_at"": ""2026-03-29"", ""price_aud"": 27880.0, ""odometer_km"": 82171, ""match_quality"": 0.8}]",22030.0,1114.0,33910.0,2026-07-22
Mitsubishi,Triton,GLX+,2023,27391,ute,partial,good,none,replace,2,current,25350.0,28590.0,"[{""sold_at"": ""2025-03-14"", ""price_aud"": 29040.0, ""odometer_km"": 23226, ""match_quality"": 0.88}, {""sold_at"": ""2025-03-19"", ""price_aud"": 24290.0, ""odometer_km"": 26457, ""match_quality"": 0.99}, {""sold_at"": ""2025-03-18"", ""price_aud"": 25930.0, ""odometer_km"": 28916, ""match_quality"": 0.83}, {""sold_at"": ""2024-11-18"", ""price_aud"": 25880.0, ""odometer_km"": 29144, ""match_quality"": 0.87}, {""sold_at"": ""2025-04-03"", ""price_aud"": 25770.0, ""odometer_km"": 29040, ""match_quality"": 0.78}]",19780.0,1352.0,32770.0,2025-04-15
Volkswagen,Golf,R-Line,2022,46078,small,full,fair,none,good,2,current,16860.0,19020.0,"[{""sold_at"": ""2026-01-12"", ""price_aud"": 18840.0, ""odometer_km"": 39642, ""match_quality"": 0.61}, {""sold_at"": ""2026-04-07"", ""price_aud"": 17920.0, ""odometer_km"": 53481, ""match_quality"": 0.65}, {""sold_at"": ""2026-02-11"", ""price_aud"": 17080.0, ""odometer_km"": 53884, ""match_quality"": 0.92}, {""sold_at"": ""2025-12-27"", ""price_aud"": 19300.0, ""odometer_km"": 37750, ""match_quality"": 0.8}, {""sold_at"": ""2026-04-09"", ""price_aud"": 19730.0, ""odometer_km"": 54162, ""match_quality"": 0.78}, {""sold_at"": ""2025-12-20"", ""price_aud"": 19410.0, ""odometer_km"": 47045, ""match_quality"": 0.65}]",14900.0,1762.0,20740.0,2026-05-19
Toyota,RAV4,GX,2022,56978,suv,partial,excellent,WL:abs; rear brakes,good,1,current,20850.0,23510.0,"[{""sold_at"": ""2026-02-23"", ""price_aud"": 22670.0, ""odometer_km"": 57825, ""match_quality"": 0.84}, {""sold_at"": ""2026-03-07"", ""price_aud"": 20800.0, ""odometer_km"": 44315, ""match_quality"": 0.65}, {""sold_at"": ""2026-03-08"", ""price_aud"": 20480.0, ""odometer_km"": 57826, ""match_quality"": 0.9}, {""sold_at"": ""2026-01-26"", ""price_aud"": 20680.0, ""odometer_km"": 47012, ""match_quality"": 0.95}, {""sold_at"": ""2026-02-24"", ""price_aud"": 22200.0, ""odometer_km"": 68322, ""match_quality"": 0.94}, {""sold_at"": ""2025-11-27"", ""price_aud"": 21150.0, ""odometer_km"": 46570, ""match_quality"": 0.83}]",13770.0,3530.0,26810.0,2026-03-23
Toyota,Corolla,Ascent Sport,2021,60945,small,partial,good,none,worn,1,current,13340.0,15040.0,"[{""sold_at"": ""2025-08-02"", ""price_aud"": 15360.0, ""odometer_km"": 75888, ""match_quality"": 0.92}, {""sold_at"": ""2025-10-13"", ""price_aud"": 15070.0, ""odometer_km"": 47517, ""match_quality"": 0.63}, {""sold_at"": ""2025-08-18"", ""price_aud"": 13680.0, ""odometer_km"": 52340, ""match_quality"": 0.7}, {""sold_at"": ""2025-07-30"", ""price_aud"": 13850.0, ""odometer_km"": 60262, ""match_quality"": 0.89}, {""sold_at"": ""2025-12-10"", ""price_aud"": 14110.0, ""odometer_km"": 53708, ""match_quality"": 0.92}]",8610.0,2424.0,15220.0,2025-12-15
Mitsubishi,Outlander,ES,2021,63236,suv,full,excellent,none,worn,2,current,16640.0,18760.0,"[{""sold_at"": ""2025-07-22"", ""price_aud"": 17690.0, ""odometer_km"": 69775, ""match_quality"": 0.98}, {""sold_at"": ""2025-05-18"", ""price_aud"": 17350.0, ""odometer_km"": 78153, ""match_quality"": 0.93}, {""sold_at"": ""2025-08-30"", ""price_aud"": 18140.0, ""odometer_km"": 77317, ""match_quality"": 0.66}]",12380.0,1499.0,20510.0,2025-09-10
Mazda,3,G20 Pure,2024,28375,small,partial,good,none,worn,2,current,19270.0,21730.0,"[{""sold_at"": ""2025-12-24"", ""price_aud"": 20310.0, ""odometer_km"": 31925, ""match_quality"": 0.71}, {""sold_at"": ""2026-03-07"", ""price_aud"": 20120.0, ""odometer_km"": 35055, ""match_quality"": 0.61}, {""sold_at"": ""2026-02-23"", ""price_aud"": 21630.0, ""odometer_km"": 29227, ""match_quality"": 0.76}]",16290.0,1869.0,22840.0,2026-04-02
Toyota,Camry,Ascent,2021,104995,medium,full,excellent,aircon weak,worn,1,current,16490.0,18590.0,"[{""sold_at"": ""2025-07-16"", ""price_aud"": 18790.0, ""odometer_km"": 87730, ""match_quality"": 0.85}, {""sold_at"": ""2025-05-26"", ""price_aud"": 16660.0, ""odometer_km"": 110402, ""match_quality"": 1.0}, {""sold_at"": ""2025-08-13"", ""price_aud"": 16880.0, ""odometer_km"": 130850, ""match_quality"": 0.93}, {""sold_at"": ""2025-07-17"", ""price_aud"": 18290.0, ""odometer_km"": 109604, ""match_quality"": 0.86}, {""sold_at"": ""2025-08-04"", ""price_aud"": 18850.0, ""odometer_km"": 119952, ""match_quality"": 0.66}]",11640.0,3087.0,19020.0,2025-10-12
Toyota,Landcruiser Prado,GXL,2023,68464,suv,full,good,aircon weak,good,2,current,36050.0,40650.0,"[{""sold_at"": ""2025-03-13"", ""price_aud"": 35150.0, ""odometer_km"": 53759, ""match_quality"": 0.69}, {""sold_at"": ""2025-01-24"", ""price_aud"": 38070.0, ""odometer_km"": 79692, ""match_quality"": 0.78}, {""sold_at"": ""2025-04-26"", ""price_aud"": 38030.0, ""odometer_km"": 69845, ""match_quality"": 0.68}, {""sold_at"": ""2025-04-06"", ""price_aud"": 36880.0, ""odometer_km"": 69114, ""match_quality"": 0.72}, {""sold_at"": ""2025-03-21"", ""price_aud"": 36540.0, ""odometer_km"": 63310, ""match_quality"": 0.71}, {""sold_at"": ""2025-05-31"", ""price_aud"": 41220.0, ""odometer_km"": 72807, ""match_quality"": 0.94}]",29830.0,2267.0,44580.0,2025-06-12
Toyota,Kluger,GX,2018,106007,suv,partial,fair,none,good,2,current,17040.0,19220.0,"[{""sold_at"": ""2025-08-15"", ""price_aud"": 16370.0, ""odometer_km"": 86773, ""match_quality"": 0.97}, {""sold_at"": ""2025-08-10"", ""price_aud"": 18190.0, ""odometer_km"": 93337, ""match_quality"": 0.76}, {""sold_at"": ""2025-04-14"", ""price_aud"": 17330.0, ""odometer_km"": 93229, ""match_quality"": 0.82}, {""sold_at"": ""2025-05-20"", ""price_aud"": 18240.0, ""odometer_km"": 107770, ""match_quality"": 0.71}]",12820.0,1410.0,21820.0,2025-09-05
Mazda,3,G20 Evolve,2023,49340,small,partial,excellent,none,good,2,current,17010.0,19190.0,"[{""sold_at"": ""2026-02-18"", ""price_aud"": 17080.0, ""odometer_km"": 44509, ""match_quality"": 0.75}, {""sold_at"": ""2025-12-15"", ""price_aud"": 19580.0, ""odometer_km"": 37569, ""match_quality"": 0.83}, {""sold_at"": ""2026-01-12"", ""price_aud"": 18230.0, ""odometer_km"": 55272, ""match_quality"": 0.95}, {""sold_at"": ""2026-01-02"", ""price_aud"": 16610.0, ""odometer_km"": 48857, ""match_quality"": 0.62}, {""sold_at"": ""2025-11-18"", ""price_aud"": 19510.0, ""odometer_km"": 37371, ""match_quality"": 0.92}]",15520.0,982.0,20470.0,2026-03-06
Toyota,Landcruiser Prado,Kakadu,2018,121880,suv,none,good,none,worn,1,current,20800.0,23460.0,"[{""sold_at"": ""2025-07-04"", ""price_aud"": 21070.0, ""odometer_km"": 116034, ""match_quality"": 0.75}, {""sold_at"": ""2025-06-03"", ""price_aud"": 20930.0, ""odometer_km"": 146392, ""match_quality"": 0.95}, {""sold_at"": ""2025-09-09"", ""price_aud"": 22960.0, ""odometer_km"": 127964, ""match_quality"": 0.92}, {""sold_at"": ""2025-10-06"", ""price_aud"": 20030.0, ""odometer_km"": 144750, ""match_quality"": 0.8}]",18680.0,1916.0,25670.0,2025-10-30
Mazda,CX-5,Touring,2022,55324,suv,full,fair,none,good,1,current,19490.0,21970.0,"[{""sold_at"": ""2026-01-21"", ""price_aud"": 19850.0, ""odometer_km"": 42179, ""match_quality"": 0.63}, {""sold_at"": ""2025-10-12"", ""price_aud"": 21400.0, ""odometer_km"": 47548, ""match_quality"": 0.9}, {""sold_at"": ""2026-01-08"", ""price_aud"": 20550.0, ""odometer_km"": 52526, ""match_quality"": 0.93}, {""sold_at"": ""2025-10-28"", ""price_aud"": 22250.0, ""odometer_km"": 60250, ""match_quality"": 0.87}, {""sold_at"": ""2026-01-25"", ""price_aud"": 20990.0, ""odometer_km"": 57053, ""match_quality"": 0.97}]",13920.0,2547.0,22860.0,2026-02-25
Subaru,Forester,2.5i-L,2022,66339,suv,full,fair,none,good,2,current,18750.0,21150.0,"[{""sold_at"": ""2025-08-20"", ""price_aud"": 21920.0, ""odometer_km"": 57448, ""match_quality"": 0.76}, {""sold_at"": ""2025-08-15"", ""price_aud"": 19230.0, ""odometer_km"": 64819, ""match_quality"": 0.93}, {""sold_at"": ""2025-05-17"", ""price_aud"": 18600.0, ""odometer_km"": 77534, ""match_quality"": 0.69}, {""sold_at"": ""2025-07-25"", ""price_aud"": 20640.0, ""odometer_km"": 81970, ""match_quality"": 0.78}, {""sold_at"": ""2025-09-18"", ""price_aud"": 20370.0, ""odometer_km"": 73469, ""match_quality"": 0.76}, {""sold_at"": ""2025-05-21"", ""price_aud"": 19650.0, ""odometer_km"": 64437, ""match_quality"": 0.83}]",12060.0,3337.0,22370.0,2025-10-03
Audi,A4,40 TFSI,2021,90038,prestige,partial,good,none,good,1,current,28120.0,31720.0,"[{""sold_at"": ""2025-02-20"", ""price_aud"": 30190.0, ""odometer_km"": 107430, ""match_quality"": 0.88}, {""sold_at"": ""2025-05-12"", ""price_aud"": 28510.0, ""odometer_km"": 105894, ""match_quality"": 0.63}, {""sold_at"": ""2025-03-31"", ""price_aud"": 27890.0, ""odometer_km"": 112380, ""match_quality"": 0.92}, {""sold_at"": ""2025-05-05"", ""price_aud"": 29860.0, ""odometer_km"": 74702, ""match_quality"": 0.79}, {""sold_at"": ""2025-05-13"", ""price_aud"": 27840.0, ""odometer_km"": 84832, ""match_quality"": 0.67}]",18520.0,4722.0,35410.0,2025-07-13
Toyota,Camry,Ascent Sport,2019,138348,medium,partial,good,none,worn,1,expired,12990.0,14650.0,"[{""sold_at"": ""2026-03-28"", ""price_aud"": 13630.0, ""odometer_km"": 166365, ""match_quality"": 0.9}, {""sold_at"": ""2026-05-08"", ""price_aud"": 12950.0, ""odometer_km"": 163043, ""match_quality"": 0.73}, {""sold_at"": ""2026-04-16"", ""price_aud"": 15110.0, ""odometer_km"": 108414, ""match_quality"": 0.84}, {""sold_at"": ""2026-04-25"", ""price_aud"": 14030.0, ""odometer_km"": 170905, ""match_quality"": 0.66}, {""sold_at"": ""2026-06-16"", ""price_aud"": 13910.0, ""odometer_km"": 136774, ""match_quality"": 0.88}]",9510.0,1867.0,14890.0,2026-07-20
Mazda,3,G20 Pure,2019,129747,small,partial,good,none,good,1,current,10350.0,11670.0,"[{""sold_at"": ""2025-05-13"", ""price_aud"": 11890.0, ""odometer_km"": 102573, ""match_quality"": 0.84}, {""sold_at"": ""2025-08-09"", ""price_aud"": 11930.0, ""odometer_km"": 133390, ""match_quality"": 0.79}, {""sold_at"": ""2025-07-30"", ""price_aud"": 10110.0, ""odometer_km"": 101536, ""match_quality"": 0.67}, {""sold_at"": ""2025-07-26"", ""price_aud"": 11500.0, ""odometer_km"": 123406, ""match_quality"": 0.82}, {""sold_at"": ""2025-07-06"", ""price_aud"": 11450.0, ""odometer_km"": 153098, ""match_quality"": 0.87}]",8170.0,1044.0,12430.0,2025-09-18
Toyota,RAV4,GX,2020,129584,suv,full,fair,none,new,2,expired,15480.0,17460.0,"[{""sold_at"": ""2026-05-21"", ""price_aud"": 16750.0, ""odometer_km"": 141478, ""match_quality"": 0.94}, {""sold_at"": ""2026-05-10"", ""price_aud"": 16220.0, ""odometer_km"": 144859, ""match_quality"": 0.94}, {""sold_at"": ""2026-05-30"", ""price_aud"": 14860.0, ""odometer_km"": 157723, ""match_quality"": 0.82}, {""sold_at"": ""2026-02-19"", ""price_aud"": 17330.0, ""odometer_km"": 119751, ""match_quality"": 0.76}, {""sold_at"": ""2026-05-24"", ""price_aud"": 15290.0, ""odometer_km"": 158095, ""match_quality"": 0.71}, {""sold_at"": ""2026-02-18"", ""price_aud"": 17540.0, ""odometer_km"": 107955, ""match_quality"": 0.83}]",13290.0,1165.0,,2026-06-08
Mazda,BT-50,XT,2025,24077,ute,full,poor,none,good,2,expired,33600.0,37900.0,"[{""sold_at"": ""2025-07-30"", ""price_aud"": 34040.0, ""odometer_km"": 23946, ""match_quality"": 0.61}, {""sold_at"": ""2025-08-25"", ""price_aud"": 33320.0, ""odometer_km"": 25685, ""match_quality"": 0.71}, {""sold_at"": ""2025-08-29"", ""price_aud"": 33070.0, ""odometer_km"": 29680, ""match_quality"": 0.99}]",22460.0,8811.0,,2025-11-12
Ford,Focus,Trend,2017,153219,small,partial,good,none,good,1,current,7280.0,8200.0,"[{""sold_at"": ""2025-12-03"", ""price_aud"": 8270.0, ""odometer_km"": 184638, ""match_quality"": 0.99}, {""sold_at"": ""2025-10-19"", ""price_aud"": 7210.0, ""odometer_km"": 158897, ""match_quality"": 0.95}, {""sold_at"": ""2025-11-02"", ""price_aud"": 7510.0, ""odometer_km"": 161243, ""match_quality"": 0.93}]",5480.0,1532.0,8820.0,2025-12-20
Toyota,RAV4,GX,2025,15517,suv,none,fair,none,good,1,current,29460.0,33220.0,"[{""sold_at"": ""2026-03-26"", ""price_aud"": 31350.0, ""odometer_km"": 17419, ""match_quality"": 0.61}, {""sold_at"": ""2026-04-11"", ""price_aud"": 28800.0, ""odometer_km"": 14981, ""match_quality"": 0.87}, {""sold_at"": ""2026-05-25"", ""price_aud"": 28920.0, ""odometer_km"": 13595, ""match_quality"": 0.93}, {""sold_at"": ""2026-05-11"", ""price_aud"": 33990.0, ""odometer_km"": 12730, ""match_quality"": 0.69}]",25250.0,1962.0,,2026-08-08
Kia,Cerato,Sport,2025,13657,small,full,good,aircon weak,good,1,current,19030.0,21450.0,"[{""sold_at"": ""2026-03-02"", ""price_aud"": 19620.0, ""odometer_km"": 16192, ""match_quality"": 1.0}, {""sold_at"": ""2026-01-28"", ""price_aud"": 18780.0, ""odometer_km"": 15464, ""match_quality"": 0.64}, {""sold_at"": ""2026-03-28"", ""price_aud"": 18620.0, ""odometer_km"": 10983, ""match_quality"": 0.76}, {""sold_at"": ""2026-05-08"", ""price_aud"": 20920.0, ""odometer_km"": 15863, ""match_quality"": 0.87}]",16760.0,1648.0,24130.0,2026-06-11
